'1','2015-10-22 11:59:00','MISSOURI CITY                 ','TX ','77459     ','BASE ACCESSORIES UPCHARGE FRAM','Masco Cabinetry KM - Houston            '
'1','2015-10-22 11:59:00','MISSOURI CITY                 ','TX ','77459     ','BASE BASE DRAWER','Masco Cabinetry KM - Houston            '
'1','2015-10-22 11:59:00','MISSOURI CITY                 ','TX ','77459     ','BASE DOUBLE DOOR','Masco Cabinetry KM - Houston            '
'1','2015-10-22 11:59:00','MISSOURI CITY                 ','TX ','77459     ','BASE SINGLE DOOR','Masco Cabinetry KM - Houston            '
'1','2015-10-22 11:59:00','MISSOURI CITY                 ','TX ','77459     ','HARDWARE ACCESSORIES','Masco Cabinetry KM - Houston            '
'1','2015-10-22 11:59:00','MISSOURI CITY                 ','TX ','77459     ','MISC PRICE LIST FINISHED','Masco Cabinetry KM - Houston            '
'1','2015-10-22 11:59:00','MISSOURI CITY                 ','TX ','77459     ','MOLDING PLANT 2','Masco Cabinetry KM - Houston            '
'1','2015-10-22 11:59:00','MISSOURI CITY                 ','TX ','77459     ','PLANT 1 MOLDING AND PLANT ONS','Masco Cabinetry KM - Houston            '
'1','2015-10-22 11:59:00','MISSOURI CITY                 ','TX ','77459     ','SPECIAL ACCESSORIES (PLYWOOD$)','Masco Cabinetry KM - Houston            '
'1','2015-10-22 11:59:00','MISSOURI CITY                 ','TX ','77459     ','TALL ACCESSORIES FIN UPCH FRAM','Masco Cabinetry KM - Houston            '
'1','2015-10-22 11:59:00','MISSOURI CITY                 ','TX ','77459     ','TALL DOUBLE DOOR','Masco Cabinetry KM - Houston            '
'1','2015-10-22 11:59:00','MISSOURI CITY                 ','TX ','77459     ','UV PANELS','Masco Cabinetry KM - Houston            '
'1','2015-10-22 11:59:00','MISSOURI CITY                 ','TX ','77459     ','WALL ACCESSORIES FIN UPCH FRAM','Masco Cabinetry KM - Houston            '
'1','2015-10-22 11:59:00','MISSOURI CITY                 ','TX ','77459     ','WALL DOUBLE DOOR','Masco Cabinetry KM - Houston            '
'1','2015-10-22 11:59:00','MISSOURI CITY                 ','TX ','77459     ','WALL SINGLE DOOR','Masco Cabinetry KM - Houston            '
'1','2015-10-22 11:59:00','Parker                        ','CO ','80134     ','ACCES SM8 CHPPNON','Masco Cabinetry Q&M - Denver            '
'1','2015-10-22 11:59:00','Parker                        ','CO ','80134     ','W2430B              LRT CH S PP NON N NNNN SST N C','Masco Cabinetry Q&M - Denver            '
